soil_type,state,district,season,temperature,rainfall,humidity,water_availability,farm_size,previous_crop,target_crop,suitable
Red,Uttar Pradesh,Nilokheri,Kharif,29.3,1218.3,83.6,High,7.7,maize,rice,1
Loamy,Madhya Pradesh,Pune,Rabi,15.5,205.3,44.9,Medium,11.4,banana,wheat,1
Black,Uttar Pradesh,Rampur,Rabi,18.6,267.3,47.5,Medium,9.5,tomato,rice,0
Sandy,Punjab,Ludhiana,Rabi,15.3,255.8,61.5,High,3.4,rose,maize,0
Clayey,Madhya Pradesh,Coimbatore,Zaid,36.7,123.3,50.6,High,12.2,rice,rice,0
Loamy,Maharashtra,Rampur,Kharif,25.9,1228.8,75.3,Medium,10.1,banana,soybean,1
Black,Punjab,Lucknow,Rabi,19.5,307.1,98.5,High,12.5,potato,wheat,1
Loamy,Haryana,Kolar,Zaid,37.9,67.4,51.5,Medium,11.0,banana,cotton,0
Black,Maharashtra,Pune,Rabi,15.7,201.5,57.6,High,8.3,cotton,potato,1
Clayey,Gujarat,Lucknow,Kharif,36.9,1271.6,70.7,Low,1.5,rice,mustard,0
Clayey,Gujarat,Rajkot,Rabi,16.6,256.4,70.9,Medium,3.7,maize,wheat,1
Loamy,Gujarat,Coimbatore,Rabi,15.9,177.0,66.8,Medium,8.9,rice,maize,1
Red,Tamil Nadu,Nilokheri,Zaid,36.1,165.8,38.5,Medium,10.5,tomato,rice,0
Sandy,Maharashtra,Manchar,Rabi,11.9,183.8,61.9,High,11.4,rice,banana,0
Loamy,Karnataka,Coimbatore,Zaid,34.4,100.2,43.9,Low,11.5,rice,mustard,0
Black,Uttar Pradesh,Ludhiana,Zaid,33.6,61.0,41.7,Medium,5.4,tomato,soybean,0
Red,Gujarat,Kolar,Rabi,23.3,123.9,64.0,High,11.7,rose,potato,1
Loamy,Haryana,Lucknow,Zaid,40.2,19.2,55.3,Medium,6.1,rose,mustard,0
Loamy,Uttar Pradesh,Rampur,Kharif,33.8,1211.0,76.5,High,11.1,mustard,rose,1
Loamy,Maharashtra,Manchar,Zaid,34.1,0.0,44.4,Medium,3.9,mustard,soybean,0
Sandy,Uttar Pradesh,Rajkot,Rabi,17.2,413.2,47.5,Low,2.3,banana,rose,0
Clayey,Rajasthan,Nilokheri,Kharif,28.7,1460.3,80.7,Low,2.3,sugarcane,cotton,0
Sandy,Madhya Pradesh,Nilokheri,Zaid,38.3,40.7,45.1,Low,9.8,potato,rice,0
Black,Uttar Pradesh,Rajkot,Kharif,30.6,1117.5,77.0,High,6.5,tomato,tomato,0
Clayey,Andhra Pradesh,Karnal,Rabi,18.3,408.6,66.6,Medium,3.0,rose,banana,0
Loamy,Tamil Nadu,Jaipur,Rabi,24.4,234.8,40.5,High,10.4,cotton,rose,1
Alluvial,Tamil Nadu,Rajkot,Kharif,30.8,1048.0,76.9,Low,6.0,soybean,sugarcane,0
Black,Haryana,Jaipur,Kharif,28.2,1189.3,84.2,Medium,5.2,rose,soybean,1
Red,Karnataka,Jaipur,Zaid,37.8,112.5,48.1,Low,10.5,soybean,mustard,0
Red,Rajasthan,Pune,Zaid,34.3,109.9,39.4,Medium,10.4,sugarcane,maize,1
Loamy,Uttar Pradesh,Rampur,Rabi,17.9,377.8,61.2,Low,5.6,wheat,maize,1
Loamy,Uttar Pradesh,Rajkot,Rabi,19.6,228.2,58.0,Medium,12.4,potato,soybean,0
Black,Gujarat,Coimbatore,Zaid,37.7,132.2,53.1,High,8.1,none,wheat,0
Clayey,Karnataka,Rampur,Rabi,20.0,282.4,56.9,Medium,7.5,tomato,wheat,1
Clayey,Andhra Pradesh,Ludhiana,Zaid,36.2,47.3,51.0,Medium,16.4,sugarcane,tomato,1
Sandy,Tamil Nadu,Coimbatore,Zaid,34.0,126.3,32.9,Low,11.2,none,soybean,0
Black,Rajasthan,Rajkot,Rabi,19.9,248.8,66.3,Medium,4.4,sugarcane,tomato,1
Loamy,Tamil Nadu,Pune,Rabi,18.2,347.5,53.2,High,7.4,banana,soybean,0
Clayey,Andhra Pradesh,Manchar,Zaid,34.3,96.5,41.8,High,5.7,rice,rose,1
Clayey,Maharashtra,Ludhiana,Rabi,15.5,274.5,62.4,Medium,6.0,potato,wheat,1
Sandy,Tamil Nadu,Lucknow,Rabi,16.6,105.2,62.3,Medium,2.4,rice,sugarcane,1
Red,Punjab,Kolar,Kharif,27.8,1177.7,78.9,Low,13.9,rice,rose,1
Alluvial,Gujarat,Rajkot,Kharif,32.6,1095.2,79.2,Low,4.0,cotton,wheat,0
Loamy,Haryana,Manchar,Kharif,29.9,1180.7,78.6,Medium,4.7,none,maize,1
Black,Andhra Pradesh,Manchar,Zaid,37.0,75.6,60.3,Low,9.6,rice,cotton,0
Alluvial,Andhra Pradesh,Ludhiana,Rabi,20.1,272.4,56.0,Low,8.1,rose,mustard,1
Loamy,Gujarat,Karnal,Zaid,36.2,81.0,37.3,Low,10.0,rose,wheat,0
Sandy,Andhra Pradesh,Karnal,Zaid,38.9,166.1,54.6,High,4.9,potato,soybean,0
Sandy,Haryana,Rampur,Zaid,37.7,167.6,46.8,Medium,4.8,tomato,mustard,0
Alluvial,Tamil Nadu,Kolar,Zaid,34.3,0.0,39.0,Medium,5.9,none,cotton,0
Loamy,Madhya Pradesh,Nilokheri,Rabi,15.7,284.2,61.5,Low,15.5,soybean,sugarcane,0
Loamy,Andhra Pradesh,Lucknow,Rabi,20.9,160.2,54.2,High,10.0,rice,maize,1
Black,Rajasthan,Manchar,Zaid,33.4,127.2,63.3,Low,6.1,mustard,potato,0
Sandy,Maharashtra,Jaipur,Kharif,24.9,1071.4,86.8,Medium,13.0,maize,potato,0
Red,Uttar Pradesh,Rampur,Kharif,25.2,1101.3,77.0,Low,8.2,wheat,rice,0
Clayey,Rajasthan,Rampur,Kharif,28.6,833.1,83.1,Low,7.4,sugarcane,rose,1
Clayey,Punjab,Karnal,Rabi,18.4,321.2,65.1,High,3.5,mustard,wheat,1
Red,Karnataka,Jaipur,Zaid,32.9,93.3,57.8,Low,5.0,potato,mustard,0
Red,Karnataka,Kolar,Zaid,39.1,127.2,46.2,Medium,8.3,maize,maize,0
Alluvial,Gujarat,Kolar,Kharif,36.2,1037.8,88.8,Low,11.9,soybean,cotton,1
Loamy,Rajasthan,Lucknow,Zaid,37.3,41.4,58.7,Low,10.7,soybean,banana,0
Alluvial,Gujarat,Lucknow,Kharif,33.2,804.2,71.2,Medium,0.5,cotton,maize,0
Red,Maharashtra,Lucknow,Kharif,29.2,1475.6,83.6,High,8.3,soybean,maize,1
Black,Rajasthan,Karnal,Kharif,34.9,674.2,73.1,Low,7.8,maize,sugarcane,0
Sandy,Maharashtra,Ludhiana,Rabi,19.2,43.3,59.7,Medium,7.6,rice,rice,0
Alluvial,Andhra Pradesh,Nilokheri,Zaid,33.4,94.7,51.7,High,4.2,cotton,cotton,0
Sandy,Haryana,Rajkot,Kharif,28.5,1084.3,74.7,Low,11.8,mustard,banana,0
Red,Gujarat,Rampur,Rabi,15.0,197.0,65.0,Medium,4.8,sugarcane,maize,1
Clayey,Uttar Pradesh,Manchar,Zaid,35.8,57.9,34.6,High,3.2,banana,rice,0
Black,Gujarat,Lucknow,Zaid,39.9,52.0,45.4,High,8.9,cotton,wheat,0
Alluvial,Maharashtra,Ludhiana,Rabi,17.7,311.4,57.8,Medium,11.0,none,banana,0
Alluvial,Gujarat,Lucknow,Zaid,34.9,69.0,39.2,Medium,0.5,none,sugarcane,0
Black,Uttar Pradesh,Nilokheri,Zaid,33.0,145.8,58.7,Low,7.0,wheat,mustard,0
Black,Maharashtra,Lucknow,Kharif,31.7,1869.7,81.6,High,12.5,tomato,cotton,1
Red,Andhra Pradesh,Lucknow,Rabi,17.6,89.4,50.4,High,8.8,sugarcane,maize,1
Sandy,Madhya Pradesh,Rampur,Rabi,15.7,185.3,45.8,Medium,3.7,rice,banana,0
Clayey,Karnataka,Manchar,Rabi,23.1,249.2,68.8,High,13.9,rice,wheat,1
Red,Andhra Pradesh,Ludhiana,Zaid,36.2,140.9,36.4,Medium,10.2,banana,tomato,1
Black,Rajasthan,Rampur,Zaid,33.9,45.0,43.1,Medium,2.5,maize,cotton,0
Clayey,Rajasthan,Karnal,Rabi,20.8,110.1,79.1,Medium,10.3,mustard,potato,1
Alluvial,Maharashtra,Kolar,Rabi,16.0,190.8,55.1,Low,4.5,sugarcane,maize,0
Clayey,Madhya Pradesh,Ludhiana,Rabi,18.1,277.0,51.7,High,7.8,potato,maize,1
Clayey,Madhya Pradesh,Ludhiana,Zaid,35.5,56.9,35.9,Low,11.0,sugarcane,mustard,0
Red,Karnataka,Manchar,Rabi,19.5,259.9,50.2,Low,11.0,sugarcane,tomato,0
Red,Maharashtra,Lucknow,Rabi,13.0,183.7,65.4,Low,10.3,sugarcane,rice,0
Loamy,Andhra Pradesh,Rajkot,Zaid,34.5,14.9,27.0,High,8.2,maize,soybean,1
Clayey,Haryana,Rajkot,Kharif,30.8,1259.6,75.5,Medium,1.4,rice,rose,1
Clayey,Uttar Pradesh,Rampur,Zaid,35.9,53.9,32.9,Medium,8.2,mustard,sugarcane,0
Black,Rajasthan,Rampur,Kharif,27.4,1351.6,78.1,Medium,5.7,wheat,banana,1
Black,Haryana,Lucknow,Rabi,20.5,303.0,48.7,Medium,13.8,soybean,maize,1
Sandy,Uttar Pradesh,Manchar,Zaid,31.1,103.1,37.0,Low,7.2,sugarcane,cotton,0
Clayey,Karnataka,Kolar,Zaid,36.7,83.5,39.0,Low,7.4,mustard,sugarcane,0
Black,Gujarat,Manchar,Rabi,21.5,283.8,62.5,High,6.4,mustard,tomato,1
Clayey,Tamil Nadu,Coimbatore,Zaid,35.0,95.8,40.7,Low,6.3,cotton,sugarcane,0
Black,Madhya Pradesh,Manchar,Rabi,18.9,337.1,80.8,High,6.7,sugarcane,rice,0
Clayey,Punjab,Pune,Rabi,21.6,46.2,55.9,Low,4.0,cotton,rice,0
Sandy,Karnataka,Manchar,Zaid,32.3,80.7,41.5,Medium,14.7,rose,rice,0
Loamy,Madhya Pradesh,Coimbatore,Rabi,19.0,332.9,57.8,Low,0.5,none,sugarcane,0
Alluvial,Andhra Pradesh,Karnal,Kharif,30.7,730.4,83.9,Low,12.6,rose,maize,1
Loamy,Haryana,Coimbatore,Kharif,31.0,1258.2,77.9,Low,17.1,none,rice,0
Loamy,Uttar Pradesh,Ludhiana,Kharif,30.5,985.2,81.2,Medium,4.6,tomato,maize,1
Clayey,Maharashtra,Rajkot,Zaid,37.7,82.9,36.4,Medium,6.1,banana,rose,0
Black,Maharashtra,Karnal,Zaid,37.0,121.5,48.3,Medium,6.0,banana,rose,1
Red,Maharashtra,Rajkot,Rabi,17.2,205.6,50.2,Low,9.5,maize,sugarcane,0
Alluvial,Rajasthan,Lucknow,Zaid,37.5,114.8,35.8,Low,13.4,cotton,rice,0
Sandy,Andhra Pradesh,Lucknow,Zaid,36.8,49.0,63.8,Medium,3.0,none,maize,0
Sandy,Gujarat,Coimbatore,Rabi,12.7,315.4,75.0,High,7.8,wheat,mustard,0
Red,Uttar Pradesh,Lucknow,Kharif,30.8,1711.4,74.4,Low,8.5,mustard,maize,0
Loamy,Punjab,Manchar,Zaid,36.2,99.2,52.3,Medium,8.9,maize,wheat,0
Sandy,Gujarat,Nilokheri,Kharif,27.6,1570.5,82.4,Low,13.4,maize,rose,0
Loamy,Maharashtra,Nilokheri,Kharif,34.8,852.6,77.4,Low,7.5,rose,tomato,1
Clayey,Punjab,Manchar,Rabi,18.2,80.8,70.9,Low,14.1,cotton,rice,0
Sandy,Tamil Nadu,Pune,Kharif,29.5,847.0,77.9,High,1.4,soybean,potato,0
Sandy,Maharashtra,Lucknow,Rabi,20.5,121.0,60.7,Medium,2.8,none,potato,0
Clayey,Haryana,Pune,Kharif,29.0,1035.1,88.3,Low,2.0,none,rose,1
Red,Karnataka,Karnal,Rabi,17.3,0.0,57.3,High,7.8,maize,soybean,0
Sandy,Uttar Pradesh,Manchar,Rabi,17.3,434.9,67.0,Low,12.5,potato,rice,0
Clayey,Punjab,Manchar,Zaid,35.5,182.9,33.9,Medium,8.2,banana,wheat,0
Loamy,Rajasthan,Lucknow,Zaid,36.0,87.9,44.8,Medium,7.4,rice,cotton,0
Alluvial,Uttar Pradesh,Jaipur,Kharif,28.3,1091.8,77.3,High,5.8,wheat,soybean,1
Clayey,Karnataka,Nilokheri,Zaid,34.6,69.8,46.1,Low,14.0,soybean,mustard,0
Loamy,Maharashtra,Coimbatore,Zaid,30.7,129.8,55.9,High,0.5,sugarcane,banana,1
Sandy,Punjab,Kolar,Kharif,29.0,748.1,78.1,Medium,4.9,sugarcane,wheat,0
Alluvial,Karnataka,Rampur,Zaid,33.8,117.4,62.5,Medium,13.1,tomato,mustard,0
Alluvial,Rajasthan,Karnal,Zaid,37.4,59.0,33.7,High,10.0,rose,rose,0
Alluvial,Punjab,Kolar,Kharif,26.3,1039.9,83.6,High,6.5,banana,wheat,0
Red,Gujarat,Manchar,Kharif,32.1,1009.8,82.2,High,12.6,potato,cotton,1
Red,Punjab,Lucknow,Kharif,26.8,1248.3,83.1,High,6.8,soybean,maize,1
Alluvial,Punjab,Pune,Kharif,31.0,1331.0,73.7,Medium,7.3,wheat,banana,1
Black,Uttar Pradesh,Ludhiana,Kharif,28.4,923.9,85.2,Low,2.4,mustard,soybean,1
Alluvial,Rajasthan,Jaipur,Rabi,13.3,122.0,66.1,Low,15.0,banana,rice,0
Black,Andhra Pradesh,Ludhiana,Zaid,31.8,88.4,62.0,Low,7.6,soybean,maize,0
Alluvial,Punjab,Jaipur,Rabi,16.4,246.2,64.0,Medium,12.4,rose,rice,0
Clayey,Haryana,Karnal,Rabi,18.3,213.6,61.5,Low,7.8,cotton,rice,0
Red,Andhra Pradesh,Rampur,Zaid,36.6,26.1,27.9,Medium,11.0,mustard,banana,0
Clayey,Madhya Pradesh,Manchar,Rabi,18.5,251.8,58.2,High,9.4,none,rice,0
Loamy,Madhya Pradesh,Rajkot,Rabi,16.4,269.6,52.2,Medium,4.1,wheat,mustard,1
Clayey,Tamil Nadu,Coimbatore,Zaid,36.8,121.2,28.0,High,9.9,potato,mustard,0
Sandy,Karnataka,Pune,Zaid,36.5,146.6,54.8,Medium,12.1,rice,rice,0
Alluvial,Tamil Nadu,Karnal,Zaid,32.3,55.0,32.2,Low,8.1,potato,cotton,0
Red,Madhya Pradesh,Rampur,Rabi,19.6,268.7,52.7,Low,5.0,rice,mustard,1
Loamy,Tamil Nadu,Ludhiana,Rabi,16.2,157.7,45.9,Low,2.6,maize,potato,0
Red,Gujarat,Pune,Zaid,34.0,42.0,55.5,Medium,18.5,wheat,rice,0
Red,Karnataka,Karnal,Rabi,19.5,164.2,61.8,Low,10.8,wheat,mustard,1
Red,Andhra Pradesh,Nilokheri,Zaid,34.8,182.4,46.2,Low,7.6,tomato,banana,0
Loamy,Uttar Pradesh,Ludhiana,Kharif,33.4,1091.3,76.5,Medium,15.1,none,maize,1
Sandy,Punjab,Pune,Kharif,28.1,1276.9,89.1,Low,5.8,rose,mustard,0
Loamy,Punjab,Karnal,Zaid,37.3,104.9,54.7,Low,1.7,wheat,mustard,0
Sandy,Maharashtra,Kolar,Rabi,15.8,242.6,57.5,Low,10.5,potato,banana,0
Alluvial,Maharashtra,Pune,Zaid,36.4,95.2,31.6,High,10.4,rose,rice,0
Loamy,Tamil Nadu,Jaipur,Zaid,37.1,113.4,55.8,Medium,9.8,mustard,maize,1
Red,Haryana,Kolar,Rabi,17.8,293.0,43.4,High,8.8,maize,rose,1
Clayey,Madhya Pradesh,Nilokheri,Rabi,18.8,141.9,47.2,High,12.2,wheat,mustard,1
Alluvial,Punjab,Rajkot,Rabi,17.9,252.8,66.8,High,8.1,cotton,maize,1
Alluvial,Punjab,Jaipur,Zaid,37.9,83.8,39.8,Medium,6.2,cotton,cotton,0
Loamy,Gujarat,Rampur,Zaid,35.1,88.9,41.9,Low,6.1,potato,rice,0
Loamy,Punjab,Coimbatore,Kharif,33.8,1053.3,75.5,Medium,6.2,rice,potato,0
Red,Tamil Nadu,Nilokheri,Rabi,22.3,353.2,62.0,Medium,2.1,rice,mustard,1
Sandy,Maharashtra,Manchar,Rabi,18.8,258.2,68.9,Low,12.3,potato,rice,0
Alluvial,Gujarat,Coimbatore,Zaid,35.0,172.0,59.1,Medium,6.5,soybean,rice,0
Sandy,Karnataka,Rajkot,Rabi,16.7,408.0,74.5,High,5.9,rice,soybean,0
Red,Madhya Pradesh,Rajkot,Rabi,16.7,115.6,57.2,Medium,4.3,none,rose,1
Black,Haryana,Pune,Rabi,15.0,246.5,52.3,High,8.9,cotton,banana,1
Loamy,Haryana,Pune,Zaid,39.1,119.4,35.0,Medium,7.1,sugarcane,banana,0
Clayey,Andhra Pradesh,Nilokheri,Zaid,35.9,35.1,51.7,Low,9.5,potato,rose,0
Clayey,Haryana,Jaipur,Rabi,18.5,278.9,64.9,Low,17.8,maize,maize,0
Sandy,Madhya Pradesh,Karnal,Rabi,16.1,187.7,54.7,Medium,5.8,sugarcane,tomato,0
Sandy,Haryana,Nilokheri,Kharif,28.1,1455.1,85.9,Low,5.7,banana,soybean,0
Red,Madhya Pradesh,Ludhiana,Rabi,15.5,194.8,64.7,Low,10.5,rose,wheat,1
Clayey,Madhya Pradesh,Pune,Kharif,30.6,1486.9,72.4,Medium,15.2,rice,potato,0
Alluvial,Madhya Pradesh,Nilokheri,Kharif,28.2,1171.5,78.1,High,9.3,wheat,sugarcane,1
Red,Madhya Pradesh,Manchar,Kharif,32.0,1055.8,90.1,Medium,4.8,potato,maize,1
Sandy,Andhra Pradesh,Ludhiana,Zaid,33.2,78.7,37.7,Low,15.2,potato,rice,0
Red,Tamil Nadu,Lucknow,Rabi,16.4,248.4,62.2,Low,12.8,rose,banana,0
Sandy,Haryana,Manchar,Zaid,41.1,60.4,39.7,High,12.2,potato,maize,0
Loamy,Tamil Nadu,Pune,Zaid,37.4,103.4,63.5,Low,6.6,rice,maize,0
Loamy,Karnataka,Pune,Zaid,37.2,112.8,56.1,Low,10.0,none,rose,0
Alluvial,Tamil Nadu,Rampur,Rabi,21.2,388.2,71.7,High,10.6,potato,maize,1
Black,Karnataka,Jaipur,Kharif,29.5,1401.6,80.7,High,4.7,cotton,cotton,0
Alluvial,Madhya Pradesh,Rampur,Zaid,36.7,81.1,41.1,Low,13.1,tomato,rose,0
Red,Maharashtra,Manchar,Rabi,18.6,114.0,60.5,High,11.0,cotton,cotton,0
Red,Maharashtra,Jaipur,Kharif,31.9,1023.1,90.8,Medium,8.9,potato,rose,1
Clayey,Andhra Pradesh,Lucknow,Zaid,36.5,76.2,60.8,Medium,9.1,wheat,soybean,0
Clayey,Gujarat,Kolar,Zaid,37.2,62.1,46.9,Low,8.8,sugarcane,sugarcane,0
Clayey,Madhya Pradesh,Rampur,Rabi,21.2,263.3,49.7,High,5.2,wheat,banana,1
Sandy,Punjab,Nilokheri,Rabi,21.6,194.1,44.8,Medium,9.5,soybean,rice,0
Red,Haryana,Lucknow,Kharif,34.7,961.2,79.7,High,15.5,maize,sugarcane,1
Black,Tamil Nadu,Karnal,Kharif,25.7,1210.0,69.0,Medium,6.0,potato,tomato,1
Clayey,Madhya Pradesh,Kolar,Kharif,26.9,1161.0,83.5,Medium,5.7,rice,potato,0
Sandy,Haryana,Nilokheri,Rabi,14.2,315.0,68.7,High,7.6,cotton,tomato,1
Clayey,Maharashtra,Jaipur,Rabi,23.5,97.4,49.3,Low,5.2,tomato,rice,1
Black,Maharashtra,Rampur,Zaid,35.9,70.4,47.4,Low,9.4,soybean,mustard,0
Sandy,Gujarat,Lucknow,Kharif,26.2,1079.5,87.2,High,12.5,wheat,mustard,0
Red,Rajasthan,Karnal,Kharif,31.0,1242.4,82.3,Medium,9.8,banana,soybean,0
Red,Andhra Pradesh,Rajkot,Zaid,37.3,87.9,58.3,High,10.8,maize,mustard,1
Sandy,Gujarat,Manchar,Rabi,17.7,182.4,74.4,High,15.2,rose,rose,0
Sandy,Haryana,Rampur,Zaid,35.9,85.1,30.7,Low,5.3,soybean,soybean,0
Clayey,Punjab,Nilokheri,Rabi,20.5,205.4,53.5,Medium,0.5,maize,tomato,1
Alluvial,Karnataka,Rajkot,Zaid,35.1,16.6,20.8,Low,11.0,rose,rice,0
Loamy,Karnataka,Pune,Kharif,32.4,858.3,82.1,Medium,7.8,soybean,potato,0
Black,Rajasthan,Jaipur,Zaid,36.0,140.1,33.4,High,11.5,cotton,rice,0
Clayey,Punjab,Lucknow,Kharif,29.3,1152.1,80.1,High,0.5,wheat,tomato,1
Sandy,Madhya Pradesh,Coimbatore,Zaid,35.5,39.9,38.2,Medium,6.9,maize,tomato,0
Black,Uttar Pradesh,Kolar,Kharif,35.4,957.2,83.2,Low,10.3,potato,maize,1
Sandy,Tamil Nadu,Coimbatore,Zaid,38.8,82.4,54.2,Medium,5.4,mustard,potato,0
Clayey,Rajasthan,Kolar,Zaid,37.4,115.8,48.9,Medium,10.5,rice,mustard,0
Red,Maharashtra,Rampur,Rabi,21.1,381.7,54.6,Medium,8.8,rice,rice,0
Sandy,Uttar Pradesh,Jaipur,Zaid,40.2,149.4,38.1,Low,8.8,mustard,cotton,0
Sandy,Rajasthan,Ludhiana,Zaid,34.7,67.2,40.2,Medium,9.7,banana,mustard,0
Alluvial,Haryana,Nilokheri,Zaid,37.0,79.0,39.3,Medium,16.6,potato,soybean,0
Loamy,Maharashtra,Ludhiana,Kharif,35.2,1109.5,82.2,Low,8.5,rose,sugarcane,0
Alluvial,Gujarat,Nilokheri,Rabi,19.8,224.3,49.8,Medium,1.3,mustard,banana,0
Black,Rajasthan,Kolar,Rabi,19.2,201.7,66.5,Medium,14.3,rice,banana,0
Sandy,Tamil Nadu,Kolar,Zaid,33.5,89.0,30.4,Medium,12.2,wheat,rice,0
Black,Rajasthan,Rampur,Rabi,23.1,357.9,55.4,Low,7.8,rice,maize,1
Loamy,Rajasthan,Rajkot,Zaid,35.7,106.1,53.8,Medium,1.7,none,sugarcane,0
Black,Haryana,Jaipur,Kharif,34.4,943.6,86.9,Low,9.6,sugarcane,rice,0
Sandy,Karnataka,Karnal,Zaid,37.0,58.0,47.6,Low,5.3,maize,maize,0
Loamy,Maharashtra,Kolar,Zaid,35.9,101.7,56.7,High,6.5,rice,wheat,0
Black,Rajasthan,Ludhiana,Rabi,20.3,364.9,31.5,Low,1.0,banana,potato,1
Red,Maharashtra,Manchar,Kharif,28.9,776.3,74.4,High,12.6,maize,mustard,0
Loamy,Rajasthan,Rampur,Rabi,16.6,245.3,63.5,Medium,9.9,banana,rice,0
Sandy,Haryana,Jaipur,Rabi,18.2,349.6,47.2,Low,6.0,soybean,potato,0
Red,Andhra Pradesh,Pune,Kharif,25.3,1475.2,77.9,Medium,11.4,soybean,tomato,1
Red,Maharashtra,Lucknow,Kharif,29.0,1019.6,78.3,High,16.3,potato,wheat,0
